Ravi,Felipe,Ravi & Felipe Joint Score,Location
No,2,1,Blandford Hotel
,2,1,Citadines Barbican London
No,0,1,City view flat at Liverpool st Brick Ln
,2,1,Courthouse Hotel Shoreditch
No,2,1,Crowne Plaza London - Albert Embankment
No,3,1,Danubius Hotel Regents Park
,2,1,Devonshire Club by Mantis
No,3,1,Duke of Leinster
No,3,1,Hellenic Hotel London by Saba
,2,1,Hilton London Hyde Park
No,3,1,Hilton London Olympia
No,2,1,Hilton London Tower Bridge
No,3,1,Hyde Park Boutique Hotel
No,2,1,Kensington House Hotel
,3,1,La Suite West - Hyde Park
No,3,1,Leonardo Royal London Tower Bridge
No,3,1,Lidos
No,2,1,London Marriott Hotel Canary Wharf
No,3,1,London Marriott Hotel Maida Vale
No,3,1,Mermaid Suite Hotel
,2,1,Native Bankside
No,2,1,Native Monument
No,0,1,Notting Hill Concept Serviced Apartments
No,3,1,Park Avenue J Hotel London Hyde Park
,3,1,Park Grand London Lancaster Gate
No,3,1,Park Lane City Apartments
No,3,1,Radisson Blu Edwardian New Providence Wharf Hotel
,3,1,SACO The Cannon
No,3,1,So Park Battersea Aparthotel
,2,1,South Place Hotel
,3,1,South Point Suites
No,2,1,Space Apart Hotel
No,3,1,St Paul Hotel
No,3,1,St. George's Pimlico
,3,1,The Chamberlain Hotel
,2,1,The Chronicle by Supercity Aparthotels 
No,3,1,The Cleveland
No,2,1,The Exhibitionist Hotel
,1,1,The Hari
No,2,1,The Harrington
,2,1,The Hoxton Shoreditch
,3,1,The Lodge Hotel - Putney
No,3,1,The Mad Hatter Hotel
No,3,1,The Montcalm At Brewery London City
No,2,1,The Ned
No,2,1,The Rookery Hotel
No,2,1,The Sanctuary House Hotel
No,4,2,196 Bishopsgate
No,4,2,Accommodation London Bridge
No,5,2,Airways Hotel Victoria
No,5,2,Astor Court Hotel
No,4,2,Astors Belgravia
No,4,2,Best Western London Highbury
No,4,2,Best Western Swiss Cottage Hotel
Yes,2,2,Blakes Hotel London
No,4,2,Byron Hotel London
No,4,2,Comfort Inn Edgware Road W2
Yes,2,2,Dukes London
No,4,2,Garden Court Hotel
Yes,2,2,H10 London Waterloo
No,5,2,Hampstead Britannia Hotel
No,4,2,Hotel Xanadu
No,4,2,Hyde Park Superior Apartments
No,4,2,ibis London Docklands Canary Wharf
No,5,2,Kensington Suite Hotel
Yes,2,2,London Marriott Hotel Kensington
No,5,2,Maitrise Hotel Maida Vale
Yes,2,2,NH London Kensington
Yes,2,2,Nobu Hotel Shoreditch
No,5,2,Park Avenue Baker Street
No,4,2,Park Plaza London Park Royal
Yes,2,2,Rockwell East
No,4,2,Seraphine Kensington Olympia Hotel
Yes,2,2,Sloane Square Hotel
Yes,2,2,St. James Hotel and Club Mayfair
No,5,2,St. Joseph Hotel
Yes,0,2,StowAway Waterloo by Bridgestreet
Yes,2,2,The Bentley London
No,4,2,The Bridge Hotel London
No,5,2,The Bryson Hotel
No,5,2,The Colonnade
No,5,2,The Cranley
Yes,2,2,The Curtain
No,4,2,The Dome Sloane Square
No,4,2,The Dover
Yes,2,2,The Gore Hotel – Starhotels Collezione
No,4,2,The Jade
Yes,2,2,The Kensington Hotel
Yes,2,2,The LaLit London
Yes,2,2,The Queen's Gate Hotel
Yes,2,2,The Stafford London
No,4,2,The Villa Kensington
No,4,2,Victoria Apartments
No,4,2,W14 Hotel
Yes,5,3,Avni Kensington Hotel
,4,3,Best Western Buckingham Palace Rd
Yes,5,3,Best Western Burns Hotel Kensington
,5,3,Best Western Corona
,5,3,Best Western The Boltons
Yes,3,3,Clayton Hotel City of London
,5,3,Comfort Inn London - Westminster
Yes,5,3,Eden Plaza Kensington Hotel
Yes,5,3,Grange Strathmore
,4,3,Heeton Concept Hotel-Luma Hammersmith
,5,3,Holiday Villa Hotel And Suites
,5,3,Huttons Hotel
Yes,4,3,ibis London Shepherds Bush – Hammersmith
Yes,5,3,ibis Styles London Kensington
,4,3,Leisure Inn Hotel
,5,3,Marlin Apartments London Bridge - Empire Square
,5,3,Marlin Limehouse
Yes,5,3,Marlin Queen Street
Yes,3,3,Mercure London Bridge
Yes,5,3,My Chelsea
,5,3,New Linden
Yes,3,3,New Road Hotel
Yes,4,3,Oliver Plaza
,5,3,Oxford Hotel Earl's Court
,5,3,OYO Grantly Hotel
Yes,3,3,Park Grand London Kensington
,5,3,Shaftesbury Hyde Park International
Yes,4,3,The Bermondsey Square Hotel
Yes,4,3,The East London Hotel
Yes,5,3,The Premier Notting Hill
,5,3,The Princes Square Hotel
Yes,3,3,The Rockwell
,5,3,The Royale Chulan Hyde Park
,4,3,The Westbridge Hotel
Yes,3,3,The Zetter Hotel
,5,3,Thistle Hyde Park
,5,3,Tophams Hotel
,5,3,Trebovir Hotel
,5,3,Victoria Inn
,5,3,Westbury Hotel
