Ravi,Felipe,Ravi & Felipe Joint Score,Location
No,4,2,196 Bishopsgate
No,3,1,198 Suites
No,3,1,54 Queens Gate Hotel
No,4,2,Accommodation London Bridge
No,5,2,Airways Hotel Victoria
No,4,2,Americana Hotel
No,3,1,Apartments Inn London Pimlico
No,5,2,Astor Court Hotel
No,4,2,Astors Belgravia
No,1,1,Aviva Guest House
Yes,5,3,Avni Kensington Hotel
No,1,1,Avoca House Hotel
No,1,1,Batty Langley's
No,1,1,Beaufort Hotel
,4,3,Best Western Buckingham Palace Rd
Yes,5,3,Best Western Burns Hotel Kensington
,5,3,Best Western Corona
No,4,2,Best Western London Highbury
No,4,2,Best Western Swiss Cottage Hotel
,5,3,Best Western The Boltons
No,1,1,Blackbird
Yes,2,2,Blakes Hotel London
No,2,1,Blandford Hotel
No,2,1,Brook Green Hotel
No,4,2,Byron Hotel London
No,2,1,Camden Enterprise Hotel
No,3,1,Carlton Hotel
No,1,1,Central London Apartment
No,3,1,Chester Hotel Victoria
,2,1,Citadines Barbican London
No,0,1,City view flat at Liverpool st Brick Ln
Yes,3,3,Clayton Hotel City of London
No,4,2,Comfort Inn Edgware Road W2
,5,3,Comfort Inn London - Westminster
No,4,2,Corbigoe Hotel
No,2,1,Counting House
,2,1,Courthouse Hotel Shoreditch
No,2,1,Crowne Plaza London - Albert Embankment
No,3,1,Danubius Hotel Regents Park
,2,1,Devonshire Club by Mantis
No,3,1,Duke of Leinster
Yes,2,2,Dukes London
Yes,5,3,Eden Plaza Kensington Hotel
No,1,1,Fox and Anchor
No,4,2,Garden Court Hotel
Yes,5,3,Grange Strathmore
Yes,2,2,H10 London Waterloo
No,5,2,Hampstead Britannia Hotel
No,2,1,Haverstock Hotel
,4,3,Heeton Concept Hotel-Luma Hammersmith
No,3,1,Hellenic Hotel London by Saba
,2,1,Hilton London Hyde Park
No,3,1,Hilton London Olympia
No,2,1,Hilton London Tower Bridge
,5,3,Holiday Villa Hotel And Suites
No,3,1,Holland Court Hotel
No,1,1,Hotel La Place
No,3,1,Hotel Shepherds Bush London
No,4,2,Hotel Xanadu
,5,3,Huttons Hotel
No,3,1,Hyde Park Boutique Hotel
No,4,2,Hyde Park Superior Apartments
No,4,2,ibis London Docklands Canary Wharf
Yes,4,3,ibis London Shepherds Bush – Hammersmith
Yes,5,3,ibis Styles London Kensington
No,4,2,Imperial Court Studios
No,3,1,Imperial Court Suites
No,1,1,Kensington Court Hotel Notting Hill
No,2,1,Kensington Gardens Hotel
No,2,1,Kensington House Hotel
No,2,1,Kensington Prime Hotel
No,5,2,Kensington Suite Hotel
No,2,1,La Gaffe
,3,1,La Suite West - Hyde Park
No,3,1,Lansbury Heritage Hotel
,4,3,Leisure Inn Hotel
No,3,1,Leonardo Royal London Tower Bridge
No,3,1,Lidos
No,2,1,London Marriott Hotel Canary Wharf
Yes,2,2,London Marriott Hotel Kensington
No,3,1,London Marriott Hotel Maida Vale
No,2,1,Lynton Hotel
No,5,2,Maitrise Hotel Maida Vale
,5,3,Marlin Apartments London Bridge - Empire Square
,5,3,Marlin Limehouse
Yes,5,3,Marlin Queen Street
No,1,1,Marylebone Apartments
No,2,1,Melbourne House
Yes,3,3,Mercure London Bridge
No,2,1,Merlyn Court Hotel
No,3,1,Mermaid Suite Hotel
No,2,1,Millenium Apartments
No,3,1,mk hotel london
No,2,1,Monopoly Accommodations
No,3,1,MStay 146 Studios
No,4,2,MStay Russell Court Hotel
Yes,5,3,My Chelsea
,2,1,Native Bankside
No,3,1,Native Fulham
No,2,1,Native Monument
No,2,1,Native Tower Hill
,5,3,New Linden
Yes,3,3,New Road Hotel
Yes,2,2,NH London Kensington
Yes,2,2,Nobu Hotel Shoreditch
No,0,1,Notting Hill Concept Serviced Apartments
Yes,4,3,Oliver Plaza
,5,3,Oxford Hotel Earl's Court
,5,3,OYO Grantly Hotel
No,5,2,Park Avenue Baker Street
No,3,1,Park Avenue J Hotel London Hyde Park
Yes,3,3,Park Grand London Kensington
,3,1,Park Grand London Lancaster Gate
No,3,1,Park Lane City Apartments
No,4,2,Park Plaza London Park Royal
No,2,1,Portobello House Hotel
No,1,1,Private en-suite Room Liverpool street
No,3,1,Radisson Blu Edwardian New Providence Wharf Hotel
No,2,1,Rainbow Studios Canary Wharf
No,2,1,Regency Hotel Westend
Yes,2,2,Rockwell East
No,2,1,Royal London Hotel by Saba
No,3,1,Rushmore Hotel
,3,1,SACO The Cannon
No,1,1,Sapphire Hotel
No,1,1,Sara Hotel
No,4,2,Seraphine Kensington Olympia Hotel
No,2,1,Seraphine London Kensington Garden Hotel
,5,3,Shaftesbury Hyde Park International
No,2,1,Sheriff Hotel
No,2,1,Sloane Place
Yes,2,2,Sloane Square Hotel
No,3,1,Smart Stay Swiss Cottage
No,3,1,So Park Battersea Aparthotel
No,4,2,Somerset Hotel
,2,1,South Place Hotel
,3,1,South Point Suites
No,2,1,Space Apart Hotel
No,2,1,St George's Inn Victoria
No,2,1,St James House - Concept Serviced Apartments
No,2,1,St Mark Hotel
No,3,1,St Paul Hotel
No,3,1,St. George's Pimlico
Yes,2,2,St. James Hotel and Club Mayfair
No,5,2,St. Joseph Hotel
Yes,0,2,StowAway Waterloo by Bridgestreet
No,2,1,Sydney House Chelsea
No,1,1,The Adria Hotel
No,2,1,The Apartments by The Sloane Club
Yes,2,2,The Bentley London
Yes,4,3,The Bermondsey Square Hotel
No,4,2,The Bridge Hotel London
No,5,2,The Bryson Hotel
No,1,1,The Bull and The Hide
,3,1,The Chamberlain Hotel
,2,1,The Chronicle by Supercity Aparthotels 
No,3,1,The Cleveland
No,1,1,The Coach
No,5,2,The Colonnade
No,5,2,The Comfotel
No,5,2,The Cranley
No,1,1,The Cuckoo N1
Yes,2,2,The Curtain
No,4,2,The Diplomat Hotel
No,4,2,The Dome Sloane Square
No,4,2,The Dover
No,3,1,The Drayton Court Hotel
Yes,4,3,The East London Hotel
