"","Location","Score","address","city_sector","miles_to_city_center","guest_rating_score","guest_rating_verbal","num_of_hotel_com_reviews","trip_advisor_rating","hotel_id","star_rating","hotel_coordinates","num_of_rooms","num_of_floors","rest","bar_lounge","gym","meeting_room","ac","wifi","laundry","pool","parking","district_adr","avg_adr","isBrandGlobal","brandNameGlobal","isBrandUK","brandNameUK","isBrandLondon","brandNameLondon","walk_score","below_above_adr","avg_adr_div_dist_adr","restaurants","bars","cafe","college","casino","nightclub","pharmacy","theatre","university","antiques","art","bakery","tattoo","cinema","library","marketplace","railway_station","subway","hotels","volume","isBrand"
"1","3 Durlock House",NA,"Gosling way, Winnersh, London, England, SW9 6LS, United Kingdom, 866-573-4235","London",2.4,NA,NA,NA,NA,726854144,3,"51.47456,-0.11192",NA,NA,0,0,0,0,0,0,0,0,1,140.5582192,134,0,"Other",0,"Other",0,"Other",95,0,0.9533416173,10,1,9,0,0,0,3,0,0,0,0,0,0,0,24,0,0,0,0,"Normal",0
"2","Abercorn House",NA,"28-30 Bute Gardens, Hammersmith, London, England, W6 7DS, United Kingdom, 866-573-4235","Hammersmith",4.2,7.2,"Good",369,3,647029,2,"51.49431,-0.22229",125,NA,0,0,0,0,0,1,1,0,0,118.5217391,39,0,"Other",0,"Other",0,"Other",96,0,0.3290535583,55,3,43,17,0,0,15,11,0,0,1,0,0,0,13,0,2,1,36,"Normal",0
"3","Aparthotel Adagio London Brentford (Opening October 2018)",NA,"Great West Road, Brentford, England, TW8 0GA, United Kingdom, 866-573-4235","Brentford",7.7,9,"Superb",469,4.5,486094,4,"51.490613,-0.303654",100,NA,0,0,1,0,1,1,1,0,1,144.5714286,129.6666667,0,"Other",0,"Other",0,"Other",91,0,0.8969038208,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Normal",0
"4","Aubrey Park",NA,"Hemel Hempstead Road, Redbourn, St Albans, England, AL3 7AF, United Kingdom, 866-573-4235","St Albans",NA,7.8,"Good",353,3.5,139006,4,"51.786561,-0.412894",137,2,1,1,1,1,0,1,1,0,1,125.3043478,81,0,"Other",0,"Other",0,"Other",4,0,0.646426093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Normal",0
"5","Beautiful Room in Victorian Family Home",NA,"Cranbrook Road, Ilford, England, IG1 4UT, United Kingdom, 866-573-4235","Ilford",9.3,10,"Exceptional",NA,NA,875963552,3.5,"51.56968,0.06467",NA,NA,0,0,0,0,0,0,0,0,1,53.96721311,79,0,"Other",0,"Other",0,"Other",NA,1,1.463851762,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Normal",0
"6","Best Western Gatwick Skylane Hotel",NA,"34 Bonehurst Road, Horley, England, RH6 8QF, United Kingdom, 866-573-4235","Horley",NA,7.2,"Good",422,3,205736,3,"51.186374,-0.163809",73,3,1,1,0,1,1,1,0,0,1,75.48,57.66666667,1,"Best Western",1,"Best Western",0,"Other",49,0,0.7639992934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,"Normal",1
"7","Best Western White House Hotel",NA,"27-31 Upton Road, Watford, England, WD18 0JF, United Kingdom, 866-573-4235","Watford",NA,8.2,"Very Good",390,3.5,7340448,3,"51.65644,-0.40181",67,3,0,1,0,0,0,1,0,0,1,128.6818182,79.33333333,1,"Best Western",1,"Best Western",0,"Other",92,0,0.6165077122,4,2,5,0,0,1,7,6,0,0,0,0,0,0,0,0,0,0,0,"Normal",1
"8","Bourne court",NA,"Bourne Ave, Ruislip, England, HA4 6TZ, United Kingdom, 866-573-4235","Ruislip",NA,10,"Exceptional",NA,NA,1046312160,3,"51.554589,-0.398643",NA,NA,0,0,0,0,0,0,0,0,1,77.85714286,65,0,"Other",0,"Other",0,"Other",58,0,0.8348623853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"Normal",0
"9","Charlotte Guest House",NA,"195-197 Sumatra Road, West Hampstead, London, England, NW6 1PF, United Kingdom, 866-573-4235","West Hampstead",4,8.2,"Very Good",332,4,478824,2,"51.548857,-0.192323",44,2,0,0,0,0,0,0,0,0,0,85.25,85.25,1,"Lotte",0,"Other",0,"Other",96,1,1,14,0,24,0,0,0,1,0,0,0,0,0,0,0,8,1,3,0,0,"Normal",1
"10","Clayton Crown Hotel London",NA,"142-152 Cricklewood Broadway, London, England, NW2 3ED, United Kingdom, 866-573-4235","Cricklewood",5,8,"Very Good",515,4,215242,4,"51.556234,-0.214693",152,5,1,1,1,1,1,1,1,0,1,99.33333333,116,1,"Clayton",0,"Other",0,"Other",89,1,1.167785235,17,0,9,0,0,0,6,0,0,0,0,2,0,0,0,0,6,0,0,"Normal",1
