"","hotel_name","address","city_sector","miles_to_city_center","guest_rating_score","guest_rating_verbal","num_of_hotel_com_reviews","trip_advisor_rating","price_for_period_USD","checkin","checkout","q_adults","q_children","hotel_id","star_rating","hotel_coordinates","num_of_rooms","num_of_floors","rest","bar_lounge","gym","meeting_room","ac","wifi","laundry","pool","parking"
"1"," ibis London Canning Town","8 Silvertown Way, London, England, E16 1ED, United Kingdom, 866-573-4235","Docklands",5.9,8.8,"Fabulous",615,"4.5","192","2019-11-18","2019-11-19",2,0,631170048,3.5,"51.514664,0.008803","196","10",1,1,0,0,1,1,0,0,1
"2","1 Lexham Gardens Hotel","1 Lexham Gardens, Earls Court, Kensington, London, England, W8 5JL, United Kingdom, 866-573-4235","Kensington",2.8,6.2,"Good",338,"2.5","88","2019-11-18","2019-11-19",2,0,369364,3,"51.495113,-0.190419","56","5",0,0,0,0,0,1,0,0,0
"3","11 Cadogan Gardens","11 Cadogan Gardens, Knightsbridge, London, England, SW3 2RJ, United Kingdom, 866-573-4235","Chelsea",1.7,9.2,"Superb",189,"4.5","308","2019-11-18","2019-11-19",2,0,278952,5,"51.493553,-0.159543","56","4",1,1,0,0,1,1,1,0,0
"4","12 43 Clanricarde Gardens","Flat 12, 43 Clanricarde Gardens, London, England, W2 4JN, United Kingdom, 866-573-4235","Royal Borough of Kensington and Chelsea",2.8,6,"Good",6,NA,"144","2019-11-18","2019-11-19",2,0,1077261344,3.5,"51.511233,-0.19339",NA,NA,0,0,0,0,0,0,0,0,1
"5","16 Austin Avenue","Austin Ave, Bromley, England, BR2 8AJ, United Kingdom, 866-573-4235","Bromley",NA,NA,NA,NA,NA,"103","2019-11-18","2019-11-19",2,0,1210157568,4,"51.389129,0.045819",NA,NA,0,0,0,0,0,0,0,0,1
"6","196 Bishopsgate","196 Bishopsgate, London, England, EC2M 4NR, United Kingdom, 866-573-4235","The City of London",2.2,8.4,"Very Good",470,"4","260","2019-11-18","2019-11-19",2,0,212071,4,"51.51806,-0.079938","47",NA,0,0,0,1,0,1,1,0,0
"7","198 Suites","198 West End Lane, London, England, NW6 1SG, United Kingdom, 866-573-4235","West Hampstead",4,7.2,"Good",41,"3.5","74","2019-11-18","2019-11-19",2,0,385478,2.5,"51.549893,-0.19149","10","4",0,0,0,0,1,1,1,0,0
"8","2 Bed Apartment in the Heart of Watford","29 Loates Ln, Watford, England, WD17 2PJ, United Kingdom, 866-573-4235","Watford",NA,NA,NA,NA,NA,"144","2019-11-18","2019-11-19",2,0,1160863552,4,"51.657128,-0.394112",NA,NA,0,0,0,0,0,0,0,0,1
"9","2 Bed Penthouse Style House in Camden Town","27a Agar Grove, London, England, NW1 9UG, United Kingdom, 866-573-4235","Camden Town",2.5,NA,NA,NA,NA,"264","2019-11-18","2019-11-19",2,0,1194265216,3.5,"51.543242,-0.130607",NA,NA,0,0,0,0,0,0,0,0,1
"10","2 Bedrooms En-suite Near Victoria","Sutherland Street, Westminster, London, England, SW1V 4JZ, United Kingdom, 866-573-4235","Victoria",1.5,NA,NA,NA,NA,"206","2019-11-18","2019-11-19",2,0,927188704,3,"51.487655,-0.143596",NA,NA,0,0,0,0,0,0,0,0,1
"11","2 Double Bed Spacious Flat","5 West St, Carshalton, England, SM5 2PT, United Kingdom, 866-573-4235","Carshalton",NA,NA,NA,NA,NA,"122","2019-11-18","2019-11-19",2,0,1243718880,3,"51.365835,-0.167162",NA,NA,0,0,0,0,0,0,0,0,1
"12","23 Matheson Road","23 Matheson Road, London, England, W14 8SN, United Kingdom, 866-573-4235","West Kensington",3.5,6.8,"Good",54,"2","58","2019-11-18","2019-11-19",2,0,719847392,2.5,"51.49342,-0.20605","15",NA,0,0,0,0,0,0,0,0,0
"13","26 Penge House","Wye St, London, England, SW11 2SL, United Kingdom, 866-573-4235","Battersea",3.4,NA,NA,NA,NA,"228","2019-11-18","2019-11-19",2,0,1129287200,4,"51.468735,-0.17543",NA,NA,0,0,0,0,0,0,0,0,1
"14","274 Suites","274 West End Lane, London, England, NW6 1LJ, United Kingdom, 866-573-4235","West Hampstead",4.1,8,"Very Good",37,"3","81","2019-11-18","2019-11-19",2,0,385796,2.5,"51.551899,-0.192125","7","2",0,0,0,0,1,1,0,0,0
"15","3 Bed Apartment in Westminster/pimlico","Churchill Gardens Road, Westminster, London, England, SW1V 3DW, United Kingdom, 866-573-4235","Victoria",1.6,NA,NA,NA,NA,"146","2019-11-18","2019-11-19",2,0,927187168,3,"51.48597,-0.1405",NA,NA,0,0,0,0,0,0,0,0,1
"16","3 Durlock House ","Gosling way, Winnersh, London, England, SW9 6LS, United Kingdom, 866-573-4235","London",2.4,NA,NA,NA,NA,"131","2019-11-18","2019-11-19",2,0,726854144,3,"51.47456,-0.11192",NA,NA,0,0,0,0,0,0,0,0,1
"17","41","41 Buckingham Palace Road, London, England, SW1W 0PS, United Kingdom, 866-573-4235","Victoria",0.9,9.8,"Exceptional",141,"5","1","2019-11-18","2019-11-19",2,0,425901,5,"51.498296,-0.143718","28","1",0,1,1,1,1,1,1,0,1
