"","restaurants","bars","cafe","college","casino","nightclub","pharmacy","theatre","university","antiques","art","bakery","tattoo","cinema","library","marketplace","railway_station","subway","hotels","volume"
"1",7,0,6,0,0,1,2,0,0,0,0,1,0,0,1,0,1,0,0,"Normal"
"2",65,11,12,0,0,0,12,0,0,0,0,1,0,0,0,0,2,0,232,"High"
"3",75,1,18,0,0,0,18,0,0,28,62,1,0,0,0,2,1,62,30,"Normal"
"4",209,13,84,0,1,1,19,1,0,31,14,10,0,0,0,1,3,14,40,"High"
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Normal"
"6",348,78,234,1,0,0,19,1,16,0,9,11,0,0,7,13,3,9,94,"Very High"
"7",3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"8",1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Normal"
"9",43,0,27,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,14,"Normal"
"10",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"11",10,1,9,0,0,0,3,0,0,0,0,0,0,0,24,0,0,0,0,"Normal"
"12",77,14,50,1,0,0,13,0,0,1,0,7,0,1,0,0,2,0,227,"High"
"13",144,13,23,0,20,0,3,0,0,23,27,0,0,19,0,0,1,27,419,"High"
"14",220,22,117,1,1,1,22,0,0,20,27,6,0,0,0,0,2,27,417,"Very High"
"15",102,3,37,0,0,1,4,142,148,1,0,7,0,7,18,1,2,0,44,"High"
"16",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"17",78,0,21,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,"Normal"
"18",191,13,166,0,2,0,35,0,0,0,18,16,0,0,0,0,39,18,565,"Very High"
"19",55,3,43,17,0,0,15,11,0,0,1,0,0,0,13,0,2,1,36,"Normal"
"20",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Normal"
"21",2,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,"Normal"
"22",134,12,38,0,0,0,4,0,86,1,0,7,0,6,17,1,2,0,67,"High"
"23",25,5,29,0,0,0,2,0,0,0,1,1,0,0,41,0,1,1,3,"Normal"
"24",313,221,279,84,0,58,1,6,0,0,7,0,0,4,19,14,0,7,64,"Very High"
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,"Normal"
"26",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Normal"
"27",177,14,166,0,1,0,38,0,0,0,17,8,0,0,0,0,39,17,581,"Very High"
"28",178,15,167,0,1,0,38,0,0,0,17,8,0,0,0,0,39,17,581,"Very High"
"29",37,5,34,0,0,0,10,11,0,0,1,0,0,0,0,0,3,1,31,"Normal"
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Normal"
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,"Normal"
"32",187,2,83,0,0,0,35,0,0,2,1,18,0,0,3,28,1,1,338,"High"
"33",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Normal"
"34",164,12,171,14,0,17,22,24,548,0,3,0,1,0,38,0,66,3,218,"Very High"
"35",45,1,29,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,"Normal"
"36",177,14,166,0,1,0,38,0,0,0,17,8,0,0,0,0,39,17,581,"Very High"
"37",141,13,159,15,0,0,17,24,640,0,3,0,1,0,38,0,66,3,192,"Very High"
"38",807,75,200,15,12,10,15,391,1,3,18,36,1,24,6,17,4,18,299,"Very High"
"39",331,22,138,1,2,1,40,0,0,2,10,8,0,0,1,0,1,10,561,"Very High"
"40",162,3,127,1,0,0,16,34,723,0,2,1,0,0,89,0,69,2,205,"Very High"
"41",94,14,14,6,0,1,5,0,0,0,0,1,0,0,1,0,2,0,226,"High"
"42",375,37,113,0,2,2,63,0,0,2,7,8,0,1,1,2,1,7,554,"Very High"
"43",105,9,32,0,0,1,11,23,114,1,0,5,0,1,0,0,4,0,94,"High"
"44",106,21,60,0,0,0,12,0,0,0,0,8,0,2,0,0,1,0,0,"Normal"
"45",4,0,5,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,1,"Normal"
"46",317,84,254,1,0,1,37,1,16,0,5,4,0,0,7,48,3,5,113,"Very High"
"47",66,0,6,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,"Normal"
"48",140,62,124,1,0,1,35,0,1,0,0,0,0,0,0,35,5,0,181,"High"
"49",285,98,262,1,0,2,43,3,60,0,0,9,0,1,2,36,5,0,128,"Very High"
"50",140,49,149,0,0,0,9,0,180,1,0,10,0,0,35,0,138,0,36,"High"
"51",98,8,41,0,1,0,11,0,0,0,0,1,0,0,0,0,2,0,208,"High"
"52",62,2,15,6,0,1,4,0,0,0,0,7,0,0,1,0,1,0,242,"High"
"53",437,33,176,25,0,1,15,0,0,0,0,29,0,1,7,13,2,0,135,"Very High"
"54",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Normal"
"55",1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,"Normal"
"56",139,13,144,14,0,17,21,0,548,0,3,0,1,0,0,0,65,3,189,"Very High"
"57",164,20,135,0,0,0,17,0,0,0,1,8,0,0,0,0,39,1,611,"Very High"
"58",72,13,20,0,0,0,5,0,85,0,0,1,0,0,0,0,1,0,185,"High"
"59",170,16,161,0,0,0,37,0,0,0,1,8,0,0,0,0,39,1,597,"Very High"
"60",126,3,101,0,0,0,17,0,0,0,1,8,0,0,0,0,38,1,522,"Very High"
"61",1323,182,403,35,12,29,19,384,66,10,39,49,11,31,6,22,6,39,369,"Massive"
"62",434,41,217,6,0,11,48,0,83,0,27,22,0,1,1,0,2,27,270,"Very High"
"63",179,13,161,0,2,0,41,0,0,0,18,16,0,0,0,0,40,18,519,"Very High"
"64",131,11,44,0,0,0,13,0,0,34,62,15,0,0,2,1,3,62,212,"High"
"65",191,14,166,0,2,0,35,0,0,0,18,16,0,0,0,0,40,18,565,"Very High"
"66",161,15,149,0,0,0,28,0,0,0,1,8,0,0,0,0,39,1,597,"Very High"
"67",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,"Normal"
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Normal"
